FC,canonical_smiles
0.01190652,C[C@H](Cn1cnc2c(N)ncnc12)OCP(O)(O)=O
-0.021962485,Cc1ccc(O)c(N=Nc2ccccc2)n1
-0.070877267,COCCNC(=O)C[C@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@H](CO)O1
-0.030602758,[O-][N+](=O)c1ccc(OCC(=O)Nc2ccc3oc(nc3c2)c4ccc(F)cc4)cc1
-0.197499533,O=C(NC(Cc1ccccc1)Cn1cc(CN2C(COCC2=O)c2ccccc2)nn1)Nc1ccccc1
-0.057244019,Cn1c2ncn(CCOC(=O)C(C)(C)Oc3ccc(Cl)cc3)c2c(=O)n(C)c1=O
0.041657007,COC(=O)C[C@H]1C[C@@H]2[C@@H](Oc3ccc(N)cc23)[C@H](CO)O1
0.078075413,Cc1nc(N)sc1CCN
-0.010361841,CC(C)CC1N2C(=O)[C@](NC(=O)C3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(OC2(O)[C@@H]2CCCN2C1=O)C(C)C
-0.012571784,CCCCC/C=CC/C=CCCCCCCCC(=O)O
-0.003861631,COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)C(C)=CC=CC(OC)C(OC(N)=O)C(C)=CC(C)C1O)C2=O
-0.00488146,C[C@@H](O)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](C)N)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(N)=O
0.044771651,CN(C)C(=O)C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2ccc(cc2)C(F)(F)F)O1
-0.043991525,CCOc1ccc(Cc2cc(ccc2Cl)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1
-0.032058837,CN1CCN(CC1)C(=O)C[C@@H]1CC[C@@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1
0.113167066,CN1CCN(CC1)C(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)c4cscn4)cc3C(=O)N2C)O1
-0.051346344,CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
0.214586109,COc1cc(O)c([C@@H](CC(=O)N2CC(C)CC(C)C2)c2ccc3OCOc3c2)c(OC)c1
-0.030095744,Oc1ccc(Cl)cc1C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F
0.020376012,CC(C)NC(=O)N[C@H]1C=C[C@H](CC(=O)NC2Cc3ccccc3C2)O[C@H]1CO
0.36583393,CC=Cc1ccc(cc1)[C@H]1[C@@H](CO)N2[C@H]1CN(CC2=O)C(=O)Nc1ccc(F)cc1
0.090497581,C[C@H](C=C(C)C=CC(=O)NO)C(=O)c1ccc(cc1)N(C)C
0.008492148,CCn1c2nc(N)nc(C)c2cc(-c2cc[nH]n2)c1=O
-0.1352497,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC
-0.057694508,CC1C(=O)[C@H]2O[C@H]2C(=O)C1=O
0.02243036,Fc1ccc2c(c1)sn(-c1ccccc1)c2=O
-0.175259552,Fc1ccc(cc1)C(=O)OCC#CCSc1nnc(o1)-c1c[nH]c2ccccc12
-0.193796734,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12
0.107194661,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)C(=O)Cc3ccccc3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1
-0.06680784,CCOC(=O)C1=C(C)N=c2sc(=Cc3cc(Cl)c(OCC(O)=O)c(OC)c3)c(=O)n2C1c1ccccc1Cl
0.045523118,CN1[C@@H]2CC[C@H](CC(=O)NCC3CCCCC3)O[C@@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O
-0.001749209,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2OC(=O)CCC1CCCC1
0.00815567,COc1ccc(Cl)cc1Nc2nnc(s2)c3ccncc3
-0.039761409,CN1CCOC(c2ccccc2)c2ccccc2C1
-0.045390867,C[C@H]1CC2C3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CCC2[C@@]2(C)CCC(=O)C=C12
-0.011283021,CCCCCCCCCCCCCCOc1ccc(o1)C(O)=O
-0.039211253,COc1ccc2ccccc2c1CNCc3ccccn3
-0.025055282,Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1
-0.073658697,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O
-0.019379393,CC(C=C(C)C=CC(=O)NO)C(=O)c1ccc(cc1)N(C)C
-0.01524839,CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O
0.192688686,CC(C)C#Cc1ccc2c(O[C@H](CN(C)S(=O)(=O)c3cn(C)cn3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1
-0.023737299,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1
-0.158895159,CNC1=Nc2ccc(Cl)cc2C(=NC1)c1ccc[nH]1
-0.086895207,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1
-0.093633209,CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6
0.194585512,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)C5CCCCC5)cccc4C1=O
-0.050078645,NC(=C(C#N)C#N)/C(=C/c1ccc2[nH]ccc2c1)/C#N
-0.2071484,O=C(NNC(=O)c1ccccc1)c2csc(n2)c3cccnc3
-0.00116095,COc1cc2CCNC(C)c2cc1O
-0.009031677,Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1
-0.024174375,O[C@H]1COC[C@@H]2O[C@H](CC(=O)NCCCN3CCOCC3)CC[C@H]2N(C1)C(=O)c1ccccc1
0.22350394,OC1N2CCCCC2=Nc2cccc(F)c12
-0.024458239,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
-0.02929772,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
0.118051306,CNC(C)(C)Cc1ccccc1.CNC(C)(C)Cc1ccccc1
0.301809407,CN1[C@@H]2CC[C@H](CC(=O)NCC(F)(F)F)O[C@@H]2COc2ccc(NC(=O)Nc3ccc(C)cc3)cc2C1=O
-0.156670158,Cc1ccc(cc1)n2c(N)c(C#N)c(c(C#N)c2=O)c3ccccc3
-0.089927564,CCOC(=O)[C@H]1CC=CC[C@H](C(=O)OCC)C(=O)O[C@H]2[C@H](OC(=O)Nc3ccc(Br)cc3)[C@@H](CO)O[C@H](OC)[C@@H]2OC1=O
-0.071205929,CCN1C[C@]2(C)CC[C@H](O)[C@]3([C@@H]2C[C@H]4C13)[C@@H]5C[C@H](O)[C@H]6C[C@]45[C@H](O)C6=C
0.000696117,BrCC(=O)NCCc1ccc2ccccc2c1
0.024183437,CN1CCN(CC(=O)N2c3c(C)scc3C(=O)Nc3ccccc23)CC1
-0.012020513,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
0.137785336,CCS(=O)(=O)N(C)C1C(O)C(C)(C)Oc2ccc(C#N)cc12
-0.00824441,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)N3CCN(C)CC3)OCc4cnnn4CCCC1=O
-0.06243572,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
0.154744312,CC(/C=C/C1=C(C)CCCC1(C)C)=CC=CC(C)=C/C(O)=O
0.002185714,CC(C)NC(=O)Nc1cccc2C(=O)N(C[C@H](C)[C@H](CN(C)C)Oc12)[C@H](C)CO
-0.003300717,CCS(=O)(=O)Nc1ccc2OC[C@@H](C)N(C[C@H](C)[C@H](CN(C)C(=O)c2c1)OC)C(C)=O
0.031131234,Fc1ccc2OCCC3(NC(=O)NC3=O)c2c1
-0.017092765,CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
0.016555969,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
0.166657247,OC[C@@H]1O[C@H](CC(=O)NCc2ccc(Cl)c(Cl)c2)C=C[C@@H]1NS(=O)(=O)c1ccccc1
0.281592046,Cc1cccc(c1)S(=O)(=O)N1C[C@H]2[C@H]([C@@H](CO)N2C(=O)C2CC2)c2ccccc12
-0.124868174,OC(CSc1nc(c(o1)c2ccccc2)c3ccccc3)CC(O)c4ccc(cc4)[N+](=O)[O-]
0.007069176,Brc1ccc(OCc2ccccc2Br)c(/C=C3/SC(=S)NC3=O)c1
-0.032751285,NC1=C(Cl)C(=O)c2ccccc2C1=O
-0.030916045,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Oc2cccc3ccccc23)OCc2cnnn2CCCC1=O
0.343623134,CN1CCN(CC1)C(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)c4cscn4)cc3C(=O)N2C)O1
-0.01418979,C1CN(CCO1)c2nnc(c3ccccc3)c(n2)c4ccccc4
-0.081416358,CC(C)NCC(O)COc1cccc2ccccc12
-0.172419572,C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
