FC,canonical_smiles
-0.001195131,Cn1c2ncn(CCO)c2c(=O)n(C)c1=O
0.184692986,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C
-0.054019796,Nc1nccc(Oc2ccc(NC(=O)c3c[nH]cc(-c4ccc(F)cc4)c3=O)cc2F)c1Cl
-0.019918766,COCCOc1ccc(cc1)N1CCN(CCn2ncc3c2nc(N)n2nc(nc32)-c2ccco2)CC1
0.130163557,CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(CCC54C)C(=O)OC7OC(CO)C(OC8OCC(OC9OC(CO)C(O)C(O)C9O)C(OC%10OCC(O)C(O)C%10O)C8O)C(O)C7O)C2(C)C)C(O)C(O)C1OC%11OCC(O)C(O)C%11O
0.500559908,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]31CN(Cc2ccccc2Cl)C1)C(C)=O
0.067952075,C[C@@H]1C[C@@H]2O[C@H]2C=CC=CC(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
0.21196181,C[C@@H]1CC=CCCC(=O)N[C@@H](CC(=O)O1)c1ccccc1
0.453746893,OC[C@@H]1[C@@H]([C@H]2CN(CC(=O)N12)C(=O)c1cnccn1)c1ccc(cc1)-c1cccc(F)c1
-0.124136604,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
-0.064186194,Cc1ccccc1S(=O)(=O)N1CCCCN2[C@@H](CO)[C@H]([C@@H]2C1)c1ccc(cc1)-c1cccnc1
-0.028559828,CCS(=O)(=O)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12
-0.091234393,Cc1ncsc1CCCl
0.171836968,OC[C@@H]1Nc2ccc(cc2[C@@H]2[C@H]1CCN2C(=O)c1cccc(F)c1)-c1ccccc1F
0.196534308,COc1cc(O)c(C(CC(=O)N2CCC(C)CC2)c2ccc3OCOc3c2)c(OC)c1
0.528002471,CC(C)N(C[C@H]1N[C@H](CO)[C@H]1c1ccc(cc1)-c1ccccc1)C(C)=O
-0.067450802,COc1ccc(cc1OC)-c1cc2nccn2c(Nc2ncccc2C(N)=O)n1
0.488382997,COCC#Cc1ccc(cc1)[C@H]1[C@H](CO)N2[C@H]1CN(CC2=O)C(=O)c1ccncc1
-0.13021776,Cc1cc(nn1CC(=O)n2nc(C)c(Cl)c2C)[N+](=O)[O-]
0.258223948,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O
-0.002287472,COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1
0.126339922,OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1
0.24775563,OC[C@@H]1[C@@H]2[C@@H](CN(C(=O)Cc3ccccc3)c3ccccc23)N1S(=O)(=O)c1ccccc1
0.188163893,CC(=O)Nc1sc2CNCCCc2c1-c1nc2ccccc2s1
-0.003180931,COc1ccc(cc1)C(=O)Nc2ccccc2C(=O)NC(C(C)C)C(=O)O
-0.19692959,CC(=O)NC(c1cccs1)c1cc(Br)c2cccnc2c1O
-0.009042466,COC1OC(=O)C(CCC2(C)C(C)CCC3(C)C2CC(O)C(O)C43CO4)C1O
-0.032802788,OC(=O)c1ccccc1NCCc1ccccc1
0.122496069,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)Oc3ccc(NC(=O)Cc4cn(C)c5ccccc45)cc3C1=O
0.206449251,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
-0.103983836,Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14
-0.095136213,O=C(Nc1n[nH]c2cc(ccc12)-c1cccc(c1)C(=O)NC1CC1)C1CC1
-0.138993414,OCc1cc2ncnc(Nc3ccc(O)cc3)c2cc1CO
-0.04347476,COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1
-0.014583361,Cc1cc(NC(=O)CS(=O)c2cn(Cc3cccc(Cl)c3)c3ccccc23)no1
-0.00500534,O[C@H]1COC[C@@H]2O[C@H](CC(=O)NCc3cc(F)cc(F)c3)CC[C@H]2N(C1)C(=O)c1ccncc1
0.201523017,CC(C)(C)n1ncc2c(=O)n(Cc3cc(F)c(Cl)cc3Cl)cnc12
0.072538233,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccccc2)OCc3cnnn3CCCC1=O
0.168021463,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
0.016548716,CN(C)C(=O)n1cc(C(=O)c2ccc(Cn3c(C)nc4cnccc34)c(F)c2)c2c(cccc12)C#C
-0.971012686,CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1
-0.013416568,COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1
-0.061864191,COc1ccc(cc1)C1Sc2ccccc2N(CCN(C)C)C(=O)C1OC(C)=O
-0.036270396,CCCCCCCCC=CCCCCCCCC(=O)NCCO
-0.073418591,COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1
